,Time(s),ads_mass(g)
13418,13189.441077,665.4000000000015
13419,13190.444905,667.4000000000015
13420,13191.451764,667.5999999999985
13421,13192.443156,668.4000000000015
13422,13193.45124,670.4000000000015
13423,13194.441766,665.8000000000029
13424,13195.44853,667.8000000000029
13425,13196.453391,667.4000000000015
13426,13197.443349,666.5999999999985
13427,13198.452874,665.8000000000029
13428,13199.442871,666.2000000000044
13429,13200.450373,666.4000000000015
13430,13201.455298,666.2000000000044
13431,13202.448418,667.5999999999985
13432,13203.452995,667.0
13433,13204.444633,664.8000000000029
13434,13205.450774,666.2000000000044
13435,13206.442263,667.8000000000029
13436,13207.452652,666.2000000000044
13437,13208.456961,666.8000000000029
13438,13209.468182,666.8000000000029
13439,13210.469201,666.8000000000029
13440,13211.463107,666.5999999999985
13441,13212.469267,666.4000000000015
13442,13213.457791,666.4000000000015
13443,13214.46496,668.5999999999985
13444,13215.472278,668.8000000000029
13445,13216.479259,668.4000000000015
13446,13217.486549,667.2000000000044
13447,13218.480757,666.5999999999985
13448,13219.483939,666.0
13449,13220.476363,666.4000000000015
13450,13221.477079,666.0
13451,13222.487752,666.5999999999985
13452,13223.495277,668.4000000000015
13453,13224.489322,667.0
13454,13225.494796,668.0
13455,13226.499927,668.4000000000015
13456,13227.492127,667.8000000000029
13457,13228.498721,666.8000000000029
13458,13229.488867,667.4000000000015
13459,13230.496222,667.4000000000015
13460,13231.489,667.2000000000044
13461,13232.493266,667.2000000000044
13462,13233.501973,667.4000000000015
13463,13234.49183,665.8000000000029
13464,13235.499333,667.4000000000015
13465,13236.489481,668.2000000000044
13466,13237.496954,668.2000000000044
13467,13238.503683,666.2000000000044
13468,13239.511288,666.8000000000029
13469,13240.517933,666.5999999999985
13470,13241.510023,666.5999999999985
13471,13242.515896,666.8000000000029
13472,13243.506393,668.0
13473,13244.515567,668.2000000000044
13474,13245.518973,670.2000000000044
13475,13246.526366,669.4000000000015
13476,13247.53375,669.8000000000029
13477,13248.523319,666.4000000000015
13478,13249.531526,666.8000000000029
13479,13250.522791,668.2000000000044
13480,13251.527569,669.4000000000015
13481,13252.536029,668.0
13482,13253.540542,666.2000000000044
13483,13254.548364,666.5999999999985
13484,13255.540313,666.2000000000044
13485,13256.545956,668.4000000000015
13486,13257.549623,665.5999999999985
13487,13258.543366,666.4000000000015
13488,13259.538705,666.8000000000029
13489,13260.54055,668.4000000000015
13490,13261.548639,668.5999999999985
13491,13262.538331,670.4000000000015
13492,13263.545464,669.8000000000029
13493,13264.536535,666.5999999999985
13494,13265.542637,669.2000000000044
13495,13266.548963,667.8000000000029
13496,13267.541373,668.0
13497,13268.550444,668.4000000000015
13498,13269.559138,668.4000000000015
13499,13270.563369,668.2000000000044
13500,13271.554217,668.2000000000044
13501,13272.559904,664.8000000000029
13502,13273.552589,669.0
13503,13274.559131,668.8000000000029
13504,13275.566553,667.2000000000044
13505,13276.573104,666.5999999999985
13506,13277.579943,668.2000000000044
13507,13278.568994,669.2000000000044
13508,13279.577808,669.2000000000044
13509,13280.566803,670.0
13510,13281.580267,667.4000000000015
13511,13282.568966,669.0
13512,13283.571182,665.5999999999985
13513,13284.567588,666.0
13514,13285.569031,670.0
13515,13286.580308,668.2000000000044
13516,13287.566847,667.0
13517,13288.573802,667.4000000000015
13518,13289.580756,671.4000000000015
13519,13290.572842,665.2000000000044
13520,13291.577291,667.0
13521,13292.5707,668.2000000000044
13522,13293.580045,666.5999999999985
13523,13294.57033,667.2000000000044
13524,13295.575599,665.8000000000029
13525,13296.581189,667.2000000000044
13526,13297.590258,667.2000000000044
13527,13298.594293,667.0
13528,13299.585105,669.2000000000044
13529,13300.595474,669.2000000000044
13530,13301.582357,666.8000000000029
13531,13302.588687,671.4000000000015
13532,13303.598516,668.8000000000029
13533,13304.604837,668.5999999999985
13534,13305.604039,670.4000000000015
13535,13306.600423,669.5999999999985
13536,13307.607901,669.5999999999985
13537,13308.598045,668.8000000000029
13538,13309.606719,666.4000000000015
13539,13310.599946,667.2000000000044
13540,13311.604346,667.5999999999985
13541,13312.610731,667.0
13542,13313.600263,667.4000000000015
13543,13314.60787,667.8000000000029
13544,13315.598729,668.2000000000044
13545,13316.605516,670.2000000000044
13546,13317.611536,668.8000000000029
13547,13318.606724,669.2000000000044
13548,13319.611168,668.8000000000029
13549,13320.604288,666.4000000000015
13550,13321.609809,670.0
13551,13322.600435,669.0
13552,13323.608369,669.8000000000029
13553,13324.612396,670.0
13554,13325.603996,671.0
13555,13326.60956,668.5999999999985
13556,13327.604482,668.0
13557,13328.60853,668.5999999999985
13558,13329.60952,668.2000000000044
13559,13330.606699,668.8000000000029
13560,13331.598616,669.2000000000044
13561,13332.605686,669.0
13562,13333.611775,668.5999999999985
13563,13334.60261,667.8000000000029
13564,13335.610113,668.4000000000015
13565,13336.598826,667.4000000000015
13566,13337.609661,668.4000000000015
13567,13338.613517,669.4000000000015
13568,13339.620553,669.4000000000015
13569,13340.627187,668.5999999999985
13570,13341.616693,669.2000000000044
13571,13342.623826,671.0
13572,13343.615131,673.5999999999985
13573,13344.620887,669.8000000000029
13574,13345.61345,670.4000000000015
13575,13346.621172,669.4000000000015
13576,13347.625631,672.4000000000015
13577,13348.618025,670.2000000000044
13578,13349.623816,669.0
13579,13350.615657,668.5999999999985
13580,13351.621669,669.0
13581,13352.615561,669.4000000000015
13582,13353.624558,669.5999999999985
13583,13354.628238,667.8000000000029
13584,13355.635425,666.4000000000015
13585,13356.641246,668.5999999999985
13586,13357.635297,668.4000000000015
13587,13358.640161,667.8000000000029
13588,13359.632903,673.5999999999985
13589,13360.637349,668.2000000000044
13590,13361.630966,669.8000000000029
13591,13362.63428,669.5999999999985
13592,13363.629254,668.4000000000015
13593,13364.634091,666.8000000000029
13594,13365.628347,666.8000000000029
